           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,              1,  0.3183309    ,  0.4309025    ,   55.11657    ,  0.1971695E-02,   55.11460    ,   0.000000    ,  -51.73572    ,  0.3183309    ,  0.4309025    ,   55.11657    ,  0.1971695E-02,   55.11460    ,   0.000000    ,  0.7424001E-01,  0.3081440E-05,  0.3444327E-01,   0.000000    ,   0.000000    ,   18.03623    ,   4.174964    ,   22.21120    ,   60.80711    ,  0.5353293E-04,   60.80716    ,   470.2061    ,   0.000000    ,   470.2061    ,   549.0494    ,   4.175018    ,   553.2245    ,   4.083370    ,   0.000000    ,   557.4165    ,  -51.73572    ,
           1980,              2,  0.7229772    ,  0.6621736    ,   56.88816    ,  0.1582863E-01,   56.87234    ,   0.000000    ,  -57.43359    ,  0.4046463    ,  0.2312711    ,   1.771589    ,  0.1385693E-01,   1.757732    ,   0.000000    ,  0.1879536    ,  0.1146048E-03,  0.1435543    ,   0.000000    ,   0.000000    ,   8.467494    ,   17.10863    ,   25.57612    ,   56.75215    ,  0.2496948    ,   57.00183    ,   455.6209    ,   0.000000    ,   455.6209    ,   520.8406    ,   17.35833    ,   538.1989    ,   9.152043    ,   0.000000    ,   547.6826    ,  -9.733887    ,
           1980,              3,   1.575808    ,  0.6981030    ,   56.89022    ,  0.1789679E-01,   56.87234    ,   0.000000    ,  -58.82648    ,  0.8528313    ,  0.3592950E-01,  0.2068163E-02,  0.2068163E-02,   0.000000    ,   0.000000    ,  0.4557213    ,  0.5893960E-03,  0.7088949    ,  0.4931524E-14,   0.000000    ,   5.101496    ,   23.72244    ,   28.82394    ,   53.05092    ,   1.222245    ,   54.27318    ,   450.1200    ,   0.000000    ,   450.1200    ,   508.2724    ,   24.94469    ,   533.2171    ,   13.56340    ,   0.000000    ,   547.9458    ,  0.2631836    ,
           1980,              4,   1.829165    ,  0.7218244    ,   56.89073    ,  0.1840216E-01,   56.87234    ,   0.000000    ,  -59.45435    ,  0.2533566    ,  0.2372147E-01,  0.5053703E-03,  0.5053703E-03,   0.000000    ,   0.000000    ,  0.5081212    ,  0.1344571E-05,  0.9585578    ,   0.000000    ,   0.000000    ,   4.198191    ,   26.15463    ,   30.35283    ,   49.85641    ,   3.493087    ,   53.34949    ,   445.7774    ,   0.000000    ,   445.7774    ,   499.8320    ,   29.64772    ,   529.4797    ,   17.05058    ,   0.000000    ,   547.9970    ,  0.5120850E-01,
           1980,              5,   3.858193    ,  0.7737971    ,   56.89075    ,  0.1841678E-01,   56.87234    ,   0.000000    ,  -59.60345    ,   2.029028    ,  0.5197260E-01,  0.1462622E-04,  0.1462622E-04,   0.000000    ,   0.000000    ,  0.9536214    ,   0.000000    ,   1.715419    ,   0.000000    ,   0.000000    ,   3.982403    ,   27.33140    ,   31.31380    ,   46.44772    ,   6.719236    ,   53.16693    ,   441.9001    ,   0.000000    ,   441.9001    ,   492.3302    ,   34.05064    ,   526.3808    ,   19.94726    ,   0.000000    ,   548.9972    ,   1.000183    ,
           1980,              6,   4.062317    ,  0.8044237    ,   56.89075    ,  0.1841678E-01,   56.87234    ,   0.000000    ,  -59.57196    ,  0.2041246    ,  0.3062652E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.201111    ,   0.000000    ,   2.376520    ,   0.000000    ,   0.000000    ,   3.957507    ,   28.02098    ,   31.97848    ,   41.78781    ,   11.71391    ,   53.50171    ,   438.2627    ,   0.000000    ,   438.2627    ,   484.0080    ,   39.73488    ,   523.7429    ,   22.40720    ,   0.000000    ,   549.7277    ,  0.7305298    ,
           1980,              7,   5.049328    ,  0.8611289    ,   56.89075    ,  0.1841678E-01,   56.87234    ,   0.000000    ,  -59.50128    ,  0.9870095    ,  0.5670531E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.255461    ,   0.000000    ,   2.796375    ,   0.000000    ,   0.000000    ,   3.957507    ,   28.36819    ,   32.32570    ,   35.17574    ,   19.20954    ,   54.38529    ,   434.7737    ,   0.000000    ,   434.7737    ,   473.9069    ,   47.57773    ,   521.4846    ,   24.51923    ,   0.000000    ,   550.0558    ,  0.3281250    ,
           1980,              8,   5.468134    ,  0.9048273    ,   56.89075    ,  0.1841678E-01,   56.87234    ,   0.000000    ,  -59.35632    ,  0.4188054    ,  0.4369844E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.422750    ,   0.000000    ,   3.475046    ,   0.000000    ,   0.000000    ,   3.957507    ,   28.52832    ,   32.48583    ,   29.56738    ,   25.93532    ,   55.50270    ,   431.5306    ,   0.000000    ,   431.5306    ,   465.0555    ,   54.46364    ,   519.5192    ,   26.35102    ,   0.000000    ,   550.7681    ,  0.7122803    ,
           1980,              9,   5.770392    ,  0.9387442    ,   56.89075    ,  0.1841678E-01,   56.87234    ,   0.000000    ,  -59.22717    ,  0.3022580    ,  0.3391706E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.371058    ,   0.000000    ,   3.792950    ,   0.000000    ,   0.000000    ,   3.957507    ,   28.59228    ,   32.54978    ,   22.31440    ,   34.36993    ,   56.68433    ,   428.5625    ,   0.000000    ,   428.5625    ,   454.8344    ,   62.96220    ,   517.7966    ,   27.95920    ,   0.000000    ,   550.9198    ,  0.1516724    ,
           1980,             10,   7.423890    ,  0.9815967    ,   56.89075    ,  0.1841678E-01,   56.87234    ,   0.000000    ,  -59.02533    ,   1.653498    ,  0.4285252E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.594028    ,   0.000000    ,   4.624836    ,   0.000000    ,   0.000000    ,   3.957507    ,   28.60795    ,   32.56546    ,   15.78297    ,   42.02766    ,   57.81063    ,   425.9012    ,   0.000000    ,   425.9012    ,   445.6416    ,   70.63561    ,   516.2772    ,   29.38951    ,   0.000000    ,   551.8856    ,  0.9657593    ,
