,Station ID,seg ID,Station name,up,X,Y
0,02AC002,72030584,02AC002,0,-83.019,42.158
1,02CF007,72041562,02CF007,0,-83.019,42.158
2,02CF012,72041948,02CF012,0,-83.019,42.158
3,02EC011,72051928,02EC011,1,-83.019,42.158
4,02ED003,72051740,02ED003,1,-83.019,42.158
5,02ED102,72051968,02ED102,1,-83.019,42.158
6,02GE005,72056760,02GE005,0,-83.019,42.158
7,02GH002,72058531,02GH002,0,-83.019,42.158
8,02GH003,72058424,02GH003,0,-83.019,42.158
9,02HB004,72056014,02HB004,0,-83.019,42.158
10,02HB012,72057219,02HB012,0,-83.019,42.158
11,02HC009,72052069,02HC009,0,-83.019,42.158
12,02HC013,72052687,02HC013,1,-83.019,42.158
13,02HC018,72052485,02HC018,1,-83.019,42.158
14,02HC023,72052773,02HC023,0,-83.019,42.158
15,02HC025,72051951,02HC025,0,-83.019,42.158
16,02HC031,72055156,02HC031,1,-83.019,42.158
17,02HC032,72053057,02HC032,0,-83.019,42.158
18,02HD008,72052697,02HD008,1,-83.019,42.158
19,02HJ001,72052577,02HJ001,0,-83.019,42.158
20,02HL003,72051901,02HL003,0,-83.019,42.158
21,02HM005,72051901,02HM005,1,-83.019,42.158
22,02LA007,72047191,02LA007,1,-83.019,42.158
23,02MC001,72047350,02MC001,0,-83.019,42.158
24,02ED007,72052534,02ED007,0,-83.019,42.158
25,02CF005,72043488,02CF005,0,-83.019,42.158
26,02CF010,72041139,02CF010,1,-83.019,42.158
27,02DB005,72040672,02DB005,0,-83.019,42.158
28,02DD010,72046858,02DD010,0,-83.019,42.158
29,02FA001,72051711,02FA001,1,-83.019,42.158
30,02GA003,72055097,02GA003,1,-83.019,42.158
31,02GA015,72055277,02GA015,1,-83.019,42.158
32,02GA031,72057550,02GA031,0,-83.019,42.158
33,02GA039,72052222,02GA039,0,-83.019,42.158
34,02GA040,72055295,02GA040,1,-83.019,42.158
35,02GB010,72056898,02GB010,0,-83.019,42.158
36,02GD001,72055542,02GD001,0,-83.019,42.158
37,02GD003,72055558,02GD003,1,-83.019,42.158
38,02GD008,72056019,02GD008,0,-83.019,42.158
39,02GD016,72055670,02GD016,1,-83.019,42.158
40,02HB001,72052509,02HB001,0,-83.019,42.158
41,02HB011,72055826,02HB011,1,-83.019,42.158
42,02HC027,72057713,02HC027,0,-83.019,42.158
43,02HL001,72051564,02HL001,0,-83.019,42.158
44,02HM002,72054207,02HM002,0,-83.019,42.158
45,02KB001,72046898,02KB001,0,-83.019,42.158
46,02KC009,72046911,02KC009,0,-83.019,42.158
47,02KF001,72046509,02KF001,1,-83.019,42.158
48,02KF012,72047556,02KF012,0,-83.019,42.158
