!! model=5.24.0; variable=evap; timestep=day; unit=mm per day; comment=Timeseries of subbasin evaporation in mm per day;
DATE	71031130	71031429	71024578	71032292	71024619	71032106	71038890	71031215	71025839	71031640	71037546	71030896	71032673	71037949	71037968	71038233	71031687	71039250	71032486	71032683	71032265	71025411	71032455	71038064	71025219	71032089	71026193	71039048	71031654	71037254	71031643	71032379	71031068	71025568	71037762	71030527	71030703	71031094	71030460	71037879	71037612	71030626	71031855	71031155	71037191	71030831	71025323	71032823	71038127	71031502	71032896	71037433	71032618	71024598	71032479	71032269	71030749	71024483	71032233	71026134	71032259	71030784	71030774	71031569	71030563	71038014	71031524	71032073	71025911	71031489	71033318	71031503	71025043	71032914	71031267	71038946	71037990	71031303	71032380	71025044	71025693	71038961	71025142	71033313	71032117	71022435	71033026	71037075	71032649	71039109	71025201	71031276	71024448	71032859	71031397	71032602	71031611	71032024	71031986	71031785	71025869	71038826	71031975	71032109	71028380	71024720	71031965	71030906	71032287	71031077	71032580	71031769	71031478	71032531	71032492	71031719	71032102	71031911	71024488	71025052	71033126	71031968	71032377	71033183	71030838	71032422	71032535	71037058	71030835	71039121	71038844	71033367	71033035	71025799	71026037	71025440	71030431	71031181	71032048	71032090	71037682	71032217	71037229	71031642	71031561	71033120	71031359	71032200	71038637	71031529	71032972	71032838	71033247	71031279	71038278	71030428	71031849	71037334	71024474	71032795	71024996	71031922	71026015	71030717	71026036	71031850	71031838	71030950	71032409	71030690	71037815	71031931	71030660	71026700	71031863	71022444	71026196	71024795	71031893	71030474	71030390	71032185	71024862	71031739	71031594	71030588	71032095	71030418	71024292	71024386	71038901	71031120	71025298	71038383	71037977	71026853	71033362	71024843	71030156	71030716	71030314	71032804	71032802	71037400	71036422	71025125	71032574	71032632	71031870	71024082	71030313	71031431	71031296	71026572	71030243	71030265	71026344	71030944	71036250	71030057	71030302	71030191	71032842	71031414	71032440	71028377	71025547	71024229	71031856	71032903	71039266	71030071	71036466	71036324	71030270	71029863	71033334	71022407	71031506	71024198	71029879	71030287	71036085	71036389	71022426	71029715	71029930	71038722	71037321	71037856	71032682	71029639	71025086	71030100	71023982	71036211	71029857	71036194	71024080	71029721	71031177	71029963	71030026	71030177	71036132	71030189	71036170	71030231	71024128	71030034	71032973	71023895	71029602	71029924	71023994	71029778	71023889	71025583	71023778	71029770	71035946	71029803	71029759	71022409	71029766	71030035	71030202	71036098	71023591	71035810	71023936	71029798	71028215	71035895	71023674	71036096	71035930	71023606	71029800	71030292	71030308	71029646	71029380	71022253	71029334	71029992	71029490	71035979	71022248	71029391	71028132	71029451	71031528	71029528	71029450	71035831	71035771	71029414	71035677	71022242	71029520	71029042	71029225	71029071	71029212	71022225	71029434	71028097	71029335	71023477	71029150	71029448	71029189	71035349	71035480	71028734	71035692	71023309	71028968	71028681	71029134	71035360	71029158	71023181	71029028	71035337	71028062	71029203	71028975	71028311	71028963	71029064	71029057	71035289	71028961	71029118	71023103	71029022	71028945	71022220	71028221	71023104	71029016	71028867	71022209	71028865	71028893	71028974	71035238	71035362	71022992	71028835	71028727	71023020	71028957	71028304	71028833	71022945	71028722	71028757	71028249	71028795	71028847	71028904	71035166	71028699	71022911	71028675	71035129	71028852	71035105	71035044	71028740	71028700	71028685	71028663	71028676	71028657	71035002	71022780	71034975	71028609	71022754	71028580	71028597	71022693	71028546	71028585	71028531	71028598	71022679	71028524	71022661	71022365	71022305	71022647	71028558	71022302	71028526	71022639	71022635	71028189	71028510	71028505	71028498	71028159	71028140	71028095	71028073	71028054	71028494	71028490	71022454	71028039	71028027	71028023	71028014	71028007	71022198	71027992	71027981	71027979	71027969	71027963	71027962	71027957	71027942	71022170	71022168	71022165	71022164	71022160	71022153
1980-01-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-01-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-01-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-01-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-01-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-01-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-01-12	0	0	0	0	0	0	0.004	0	0	0.002	0.011	0	0	0.007	0.003	0	0	0	0.003	0.002	0	0	0	0.011	0	0.002	0	0	0	0.017	0	0.002	0	0	0	0	0	0	0	0.011	0.006	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0.005	0.01	0	0.001	0	0	0	0	0	0	0	0	0.003	0.001	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0.003	0	0	0.003	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0	0.017	0	0.008	0	0	0	0	0	0	0.005	0	0	0	0.003	0	0.008	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.006	0	0	0	0.003	0	0	0	0	0	0	0	0.001	0.01	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.004	0	0.011	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0.011	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.013	0	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.014	0	0.009	0	0	0	0.008	0	0	0.008	0	0	0	0	0	0	0	0.002	0	0.004	0	0	0	0.003	0	0.001	0	0	0	0	0	0.004	0	0	0	0	0	0.003	0	0.004	0	0	0	0	0	0.004	0.007	0.009	0.001	0	0	0	0	0.003	0.015	0	0	0.006	0.015	0	0	0.002	0	0.003	0	0	0.014	0	0	0	0	0.002	0	0	0	0	0.002	0	0	0.001	0	0.009	0.009	0	0.002	0	0	0	0	0	0	0.001	0	0	0.001	0	0	0.007	0	0	0.001	0.009	0	0.009	0.005	0	0	0	0	0	0	0.004	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-01-13	0.017	0.014	0.009	0.005	0.01	0.006	0.025	0.022	0.005	0.022	0.025	0.008	0.011	0.035	0.024	0.041	0.005	0.033	0.018	0.018	0.02	0.006	0.029	0.028	0.005	0.01	0.005	0.022	0.007	0.045	0.003	0.01	0.025	0.005	0.037	0.02	0.023	0.017	0.055	0.037	0.019	0.03	0.034	0.017	0.039	0.02	0.008	0.015	0.018	0.012	0.01	0.041	0.018	0.007	0.011	0.01	0.022	0.011	0.012	0.005	0.03	0.011	0.028	0.015	0.023	0.034	0.022	0.008	0.006	0.033	0.012	0.006	0.005	0.019	0.017	0.023	0.042	0.019	0.027	0.005	0.006	0.021	0.005	0.01	0.013	0.016	0.017	0.043	0.009	0.019	0.009	0.019	0.008	0.017	0.017	0.016	0.028	0.018	0.018	0.034	0.006	0.022	0.023	0.015	0.046	0.006	0.017	0.024	0.018	0.038	0.016	0.021	0.033	0.019	0.019	0.012	0.003	0.035	0.011	0.008	0.011	0.015	0.008	0.011	0.008	0.004	0.019	0.05	0.028	0.025	0.028	0.012	0.006	0.006	0.006	0.005	0.039	0.027	0.022	0.027	0.036	0.002	0.018	0.01	0.009	0.022	0.009	0.01	0.026	0.012	0.011	0.019	0.009	0.026	0.03	0.02	0.012	0.049	0.01	0.013	0.007	0.013	0.008	0.018	0.006	0.01	0.006	0.026	0.005	0.015	0.019	0.01	0.029	0.013	0.024	0.011	0.006	0.007	0.001	0.031	0.014	0	0.006	0.029	0.021	0.026	0.009	0.018	0.006	0.005	0.026	0.009	0.005	0.023	0.03	0.01	0.011	0.007	0.021	0.016	0.024	0.01	0.02	0.026	0.022	0.008	0.013	0.021	0.025	0.005	0.024	0.023	0.016	0.012	0.022	0.007	0.008	0.022	0.051	0.023	0.013	0.027	0.011	0.019	0	0.047	0.006	0.005	0.029	0.011	0.024	0.027	0.045	0.035	0.005	0.027	0.018	0.011	0.012	0.008	0.02	0.01	0.016	0.024	0.012	0.013	0.014	0.029	0.036	0.032	0.022	0.036	0.008	0.012	0.007	0.027	0.021	0.019	0.009	0.035	0.022	0.025	0.005	0.021	0.047	0.022	0.038	0.025	0.005	0.013	0.024	0.005	0.014	0.036	0.008	0.002	0.006	0.006	0.005	0.023	0.035	0.023	0.012	0.017	0.021	0.019	0.011	0.052	0.007	0.023	0.008	0.031	0.034	0.038	0.005	0.028	0.022	0.009	0.019	0.025	0.024	0.019	0.017	0.011	0.01	0.004	0.027	0.028	0.007	0.024	0.03	0.015	0.017	0.002	0.014	0.012	0.038	0.025	0.044	0.01	0.023	0.028	0.019	0.007	0.02	0.015	0.028	0.017	0.026	0.005	0.015	0.016	0.022	0.027	0.037	0.013	0.028	0.005	0.028	0.033	0.019	0.037	0.034	0.006	0.023	0.035	0.02	0.02	0.01	0.033	0.011	0.032	0.014	0.033	0.025	0.023	0.005	0.004	0.01	0.01	0.026	0.006	0.008	0.013	0.011	0.024	0.009	0.008	0.035	0.03	0.005	0.01	0.01	0.005	0.014	0.042	0.03	0.006	0.01	0.022	0.043	0.009	0.027	0.019	0.019	0.035	0.006	0.01	0.021	0.013	0.023	0.025	0.016	0.023	0.024	0.026	0.02	0.021	0.025	0.005	0.024	0.02	0.007	0.01	0.016	0.007	0.01	0.018	0.02	0.021	0.006	0.015	0.007	0.012	0.01	0.008	0.02	0.01	0.015	0.009	0.009	0.021	0.018	0.011	0.012	0.026	0.029	0.038	0.034	0.04	0.012	0.015	0.012	0.031	0.031	0.028	0.024	0.02	0.009	0.017	0.016	0.023	0.021	0.024	0.02	0.021	0.016	0.011	0.009	0.014	0.01	0.011	0.009
1980-01-14	0	0	0.002	0	0	0	0	0.001	0	0.004	0.008	0	0	0	0.004	0	0	0	0	0.006	0.001	0.002	0	0.001	0	0	0.001	0	0	0.004	0	0	0	0	0.006	0	0.001	0	0.001	0.001	0.004	0	0	0.001	0.001	0	0.003	0	0.008	0	0	0.001	0	0	0	0	0	0.001	0	0.001	0.001	0	0.001	0	0.001	0.011	0	0	0	0	0.001	0	0.001	0	0.001	0	0.001	0.001	0.004	0.001	0.001	0	0.001	0.001	0	0.001	0	0.001	0	0	0.003	0.002	0	0	0	0	0	0.001	0	0	0.001	0.009	0	0	0.001	0	0	0	0.002	0	0.004	0	0	0	0.001	0	0	0.005	0.001	0	0	0	0	0.001	0	0	0	0.003	0	0.002	0	0	0	0	0	0	0.002	0	0	0.006	0.003	0	0.002	0	0	0	0	0	0.003	0	0	0	0	0	0	0.001	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.005	0	0.001	0.002	0	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0.001	0.01	0.003	0.001	0	0.001	0	0	0	0	0.007	0.004	0.001	0	0	0	0.005	0	0.002	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0.002	0	0.001	0.002	0.001	0	0	0	0	0.001	0	0	0	0	0.001	0	0.001	0.001	0	0	0	0.001	0.001	0	0	0.003	0.003	0	0	0.002	0	0	0	0	0.005	0	0	0	0.005	0	0	0.001	0.001	0.006	0.007	0	0	0	0	0.001	0	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0.006	0	0.007	0.001	0.002	0	0	0.006	0.004	0	0	0	0	0	0	0	0	0.004	0	0	0	0.002	0	0	0	0	0	0	0	0.002	0.001	0	0	0	0	0	0.001	0.001	0.001	0	0	0	0	0.005	0.007	0.004	0	0	0	0	0	0	0.006	0.004	0.001	0	0.007	0.002	0.002	0	0	0	0.002	0	0.007	0.006	0	0	0	0	0	0	0.001	0	0	0.001	0.005	0	0	0.001	0.004	0.001	0	0	0.001	0	0.002	0	0.001	0	0	0.002	0	0	0	0.004	0.001	0.001	0	0.003	0	0.006	0.005	0	0	0	0	0.002	0	0.005	0.001	0.004	0	0.002	0	0	0.002	0	0	0.001	0	0.001	0.002	0.002	0.002	0.002	0.001	0.001	0.002	0	0.002	0.002	0	0	0	0	0	0	0	0.001	0.001	0	0.001	0.002	0.002	0.003	0.002	0.001	0	0.002	0	0	0	0	0	0	0	0	0.002	0.002	0.003	0.002	0.002	0.003
